"logFC","AveExpr","t","P.Value","adj.P.Val","B","ProbeID","SYMBOL","ENTREZID"
-0.937601726291725,7.51672594372185,-3.96854838786953,0.000110467082030913,0.00379662540436292,1.04247609708751,"ILMN_1782222","KIAA1033","23325"
-0.561257077757966,6.85114305217947,-3.96655204629407,0.000111309281143012,0.00381344538787581,1.03559164985403,"ILMN_2090607","IRF2","3660"
-0.621221324945543,7.85402248378917,-3.96291371311679,0.000112859942988795,0.00386045292330977,1.0230519254826,"ILMN_1801491","SLC26A2","1836"
-0.519630374918522,11.2619273395373,-3.96124813360405,0.0001135766600642,0.00387883133849586,1.01731450642307,"ILMN_2285713","TDP1","55775"
-0.651580518666627,13.014277443538,-3.95767011309752,0.000115131006706356,0.00392571309617982,1.00499588424117,"ILMN_1805668","ZNF486","90649"
-0.682189157722878,6.89882827943868,-3.9571404486273,0.000115362815215369,0.00392742258161549,1.00317308704304,"ILMN_1669215","SRPK2","6733"
0.590905816351738,11.7841583934003,3.95629084272653,0.000115735575089584,0.00393391770799786,1.00024964860053,"ILMN_1736178","AEBP1","165"
-0.680623434464873,11.1725550801679,-3.95493626058126,0.00011633226355801,0.00394799195227168,0.995589667645848,"ILMN_2204909","XRCC2","7516"
-0.580759743649474,8.0233803138938,-3.95433936309186,0.000116596123471018,0.00395074450971232,0.993536652886946,"ILMN_3187470","LOC100129094","100129094"
-0.691162994637462,10.7188288255731,-3.95282137432537,0.000117269723747368,0.00396324367519443,0.988316693504763,"ILMN_2059173","SLC35E1","79939"
-0.72756383683568,7.09574559056243,-3.95268085262639,0.000117332266616704,0.00396324367519443,0.98783355860207,"ILMN_2334121","PRKDC","5591"
-0.601198227537535,8.25585864235987,-3.95195150732076,0.000117657391417875,0.00396324367519443,0.985326181648736,"ILMN_2082893","LOC440157","440157"
-0.967092312212404,7.60897115858126,-3.95144953249604,0.000117881658023407,0.00396324367519443,0.983600686474575,"ILMN_2221408","ARFGEF1","10565"
-0.865490848501002,7.53409428475479,-3.95084087353216,0.000118154133725014,0.00396623612246483,0.981508711174524,"ILMN_2048822","NUDCD2","134492"
-1.29162464199342,10.6492431727622,-3.94795360303225,0.000119454854774888,0.0040036822488737,0.971588639509823,"ILMN_1677697","LOC441377","441377"
-0.627275605133418,8.50810026665731,-3.94397599870348,0.000121269115989043,0.00404691074290032,0.95793199884,"ILMN_3208014","LOC100131866","100131866"
-0.666794344737596,11.6833562020406,-3.94389521412611,0.000121306233758877,0.00404691074290032,0.957654749664611,"ILMN_1736008","YRDC","79693"
-0.603230245862215,6.74608988700562,-3.94130960331698,0.000122499962779416,0.00407291185040323,0.948783469605158,"ILMN_1788629","CCDC46","201134"
-0.569531662630293,12.2017646114667,-3.94062393166707,0.000122818395678962,0.00407291185040323,0.946431705992168,"ILMN_2404795","SULT1A1","6817"
-0.513088364707044,6.39397333086316,-3.940579123568,0.00012283923242034,0.00407291185040323,0.946278031617565,"ILMN_1801776","PSG9","5678"
-0.912193114967891,8.00240467703289,-3.93978101715086,0.000123210933485375,0.00407898003076086,0.94354107329548,"ILMN_1785107","NXT2","55916"
-0.528933285688114,6.90189784706631,-3.93881092157984,0.000123664176398901,0.00408311613420808,0.940214913506749,"ILMN_3245616","CWC22","57703"
-0.962805982393103,7.88926876685452,-3.93827855015696,0.000123913582120323,0.00408348143030051,0.938389856854688,"ILMN_1761474","LOC654189","654189"
0.65949457093594,9.25708610061415,3.93501682397884,0.000125452121533078,0.00412161696550468,0.92721247971087,"ILMN_1886655",NA,NA
-0.862495338985217,8.27768861220218,-3.93184795640445,0.00012696425956133,0.00415865661090431,0.916360488120792,"ILMN_1745900","LOC641849","641849"
